timestamp,open,high,low,close,volume
2026-04-15 23:00:00,2363.2,2366.86,2350.1,2358.82,1107.2855
2026-04-16 00:00:00,2359.65,2383.04,2327.89,2360.44,1236.2188
2026-04-16 01:00:00,2360.44,2360.44,2346.0,2350.85,1254.0916
2026-04-16 02:00:00,2351.2,2368.91,2350.11,2356.67,989.1906
2026-04-16 03:00:00,2356.68,2364.57,2356.28,2357.86,237.7584
2026-04-16 04:00:00,2357.86,2363.52,2349.18,2354.69,292.0876
2026-04-16 05:00:00,2354.14,2438.83,2350.68,2356.2,204.173
2026-04-16 06:00:00,2356.59,2360.57,2350.29,2355.33,245.9271
2026-04-16 07:00:00,2355.32,2357.38,2336.89,2341.41,404.2039
2026-04-16 08:00:00,2341.92,2345.89,2335.04,2338.89,335.6985
2026-04-16 09:00:00,2339.12,2348.4,2337.8,2337.82,212.5536
2026-04-16 10:00:00,2338.1,2340.2,2329.03,2332.42,217.5159
2026-04-16 11:00:00,2332.42,2336.16,2329.81,2335.58,212.8083
2026-04-16 12:00:00,2335.68,2346.1,2335.68,2340.5,204.7802
2026-04-16 13:00:00,2340.44,2350.62,2294.66,2305.69,402.4134
2026-04-16 14:00:00,2308.04,2315.11,2287.09,2309.47,554.7681
2026-04-16 15:00:00,2309.47,2347.08,2308.61,2340.46,467.1632
2026-04-16 16:00:00,2340.4,2348.7,2311.01,2317.07,337.7701
2026-04-16 17:00:00,2317.07,2329.48,2310.64,2323.98,362.4121
2026-04-16 18:00:00,2325.17,2345.46,2320.65,2342.99,541.6228
2026-04-16 19:00:00,2343.0,2361.31,2335.28,2360.13,634.5463
2026-04-16 20:00:00,2360.12,2379.36,2342.8,2350.54,642.7983
2026-04-16 21:00:00,2350.31,2356.53,2336.81,2341.18,90.7257
2026-04-16 22:00:00,2341.18,2350.3,2339.31,2342.6,399.6809
2026-04-16 23:00:00,2342.6,2354.92,2341.71,2352.87,771.5992
2026-04-17 00:00:00,2352.87,2401.62,2209.04,2344.4,1227.7855
2026-04-17 01:00:00,2344.39,2348.8,2313.9,2335.77,1113.4187
2026-04-17 02:00:00,2334.35,2338.67,2304.23,2330.8,1001.988
2026-04-17 03:00:00,2330.8,2335.49,2324.74,2325.32,837.4892
2026-04-17 04:00:00,2325.53,2333.08,2324.18,2328.96,968.9747
2026-04-17 05:00:00,2328.97,2329.35,2318.27,2319.2,1088.6915
2026-04-17 06:00:00,2319.2,2331.87,2317.49,2330.53,173.8767
2026-04-17 07:00:00,2330.53,2341.75,2330.18,2333.44,255.2378
2026-04-17 08:00:00,2333.43,2358.55,2333.0,2354.04,539.7845
2026-04-17 09:00:00,2354.03,2479.69,2348.45,2359.1,283.0786
2026-04-17 10:00:00,2359.1,2361.0,2337.43,2344.55,437.893
2026-04-17 11:00:00,2344.2,2356.96,2343.58,2355.0,282.9573
2026-04-17 12:00:00,2355.01,2380.76,2350.06,2372.81,708.6027
2026-04-17 13:00:00,2372.82,2480.63,2225.6,2436.07,1015.5715
